journal_name,journal_alias,impact_factor,quartile,source_year,notes
The New England Journal of Medicine,NEJM,96.2,Q1,2023,Demo metric for local matching
The Lancet,Lancet,98.4,Q1,2023,Demo metric for local matching
JAMA,JAMA,63.1,Q1,2023,Demo metric for local matching
Nature Medicine,Nat Med,58.7,Q1,2023,Demo metric for local matching
Nature,Nature,64.8,Q1,2023,Demo metric for local matching
Science,Science,56.9,Q1,2023,Demo metric for local matching
Cell,Cell,64.5,Q1,2023,Demo metric for local matching
Cancer Cell,Cancer Cell,50.3,Q1,2023,Demo metric for local matching
Journal of Clinical Oncology,J Clin Oncol,45.3,Q1,2023,Demo metric for local matching
Annals of Oncology,Ann Oncol,50.5,Q1,2023,Demo metric for local matching
Lancet Oncology,Lancet Oncol,54.4,Q1,2023,Demo metric for local matching
Nature Reviews Cancer,Nat Rev Cancer,78.5,Q1,2023,Demo metric for local matching
Cancer Discovery,Cancer Discov,29.7,Q1,2023,Demo metric for local matching
Clinical Cancer Research,Clin Cancer Res,11.5,Q1,2023,Demo metric for local matching
Cancer Research,Cancer Res,11.2,Q1,2023,Demo metric for local matching
Cancer Immunology Research,Cancer Immunol Res,10.1,Q1,2023,Demo metric for local matching
Journal for ImmunoTherapy of Cancer,J Immunother Cancer,10.9,Q1,2023,Demo metric for local matching
Immunity,Immunity,32.4,Q1,2023,Demo metric for local matching
Nature Immunology,Nat Immunol,30.5,Q1,2023,Demo metric for local matching
Annual Review of Immunology,Annu Rev Immunol,32.6,Q1,2023,Demo metric for local matching
Blood,Blood,20.3,Q1,2023,Demo metric for local matching
Leukemia,Leukemia,12.8,Q1,2023,Demo metric for local matching
Journal of Experimental Medicine,J Exp Med,15.3,Q1,2023,Demo metric for local matching
Proceedings of the National Academy of Sciences of the United States of America,PNAS,9.4,Q1,2023,Demo metric for local matching
BMJ,BMJ,107.7,Q1,2023,Demo metric for local matching
PLOS Medicine,PLOS Med,15.8,Q1,2023,Demo metric for local matching
eLife,eLife,7.7,Q1,2023,Demo metric for local matching
Frontiers in Immunology,Front Immunol,7.3,Q1,2023,Demo metric for local matching
International Journal of Cancer,Int J Cancer,6.4,Q1,2023,Demo metric for local matching
Oncogene,Oncogene,8.0,Q1,2023,Demo metric for local matching
Molecular Cancer,Mol Cancer,37.3,Q1,2023,Demo metric for local matching
Signal Transduction and Targeted Therapy,Signal Transduct Target Ther,40.8,Q1,2023,Demo metric for local matching
Theranostics,Theranostics,12.4,Q1,2023,Demo metric for local matching
Cell Reports,Cell Rep,8.8,Q1,2023,Demo metric for local matching
Communications Biology,Commun Biol,5.9,Q1,2023,Demo metric for local matching
