journal_name,journal_alias,issn,eissn,impact_factor,quartile,source_year,source,quartile_system
Acta Biochimica Polonica,,,,2.2,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Acta Virologica,,,,1.1,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Advanced Optical Technologies,,,,3.2,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
British Journal of Biomedical Science,,,,11.9,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Communications Biology,Commun Biol,,,5.8,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Communications Chemistry,,,,6.9,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Communications Earth & Environment,,,,9.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Communications Materials,,,,9.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Communications Physics,,,,5.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Diabetes Research and Clinical Practice,Diabetes Res Clin Pract,0168-8227,,7.4,,2025,https://www.sciencedirect.com/journal/diabetes-research-and-clinical-practice,
Dystonia,,,,1.6,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Endocrinology,Endocrinology,0013-7227,1945-7170,3.8,,2025,https://academic.oup.com/Endo/pages/About,
European Journal of Cultural Management and Policy,,,,1.9,,2025,https://www.frontiersin.org/about/impact,
European Journal of Endocrinology,Eur J Endocrinol,,,6.7,,2025,https://academic.oup.com/ejendo/pages/about,
Experimental Biology and Medicine,,,,3.8,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Aging,,,,4.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Aging Neuroscience,,,,5.2,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Agronomy,,,,4.2,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Allergy,,,,3.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Analytical Science,,,,2.5,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Animal Science,,,,2.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Antibiotics,,,,3.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Applied Mathematics and Statistics,,,,2.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Artificial Intelligence,,,,6.7,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Astronomy and Space Sciences,,,,2.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Behavioral Neuroscience,,,,3.4,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Big Data,,,,3.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Bioengineering and Biotechnology,,,,5.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Bioinformatics,,,,3.6,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Blockchain,,,,3.1,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Built Environment,,,,3.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Cardiovascular Medicine,,,,3.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Cell and Developmental Biology,,,,5.3,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Cellular and Infection Microbiology,,,,5.5,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Cellular Neuroscience,,,,4.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Chemical Engineering,,,,4.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Chemistry,,,,5.3,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Child and Adolescent Psychiatry,,,,1.5,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Climate,,,,3.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Clinical Diabetes and Healthcare,,,,3.5,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Cognition,,,,2.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Communication,,,,2.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Communications and Networks,,,,2.7,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Computational Neuroscience,,,,3.3,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Computer Science,,,,3.4,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Conservation Science,,,,2.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Dementia,,,,2.7,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Dental Medicine,,,,2.7,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Digital Health,,,,5.2,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Drug Delivery,,,,4.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Drug Discovery,,,,5.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Earth Science,,,,2.3,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Ecology and Evolution,,,,3.2,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Education,,,,2.6,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Electronics,,,,1.8,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Endocrinology,,,,5.7,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
